seconds,m,minutes,hours,sa1_maincode_2016,SA2_NAME16,SA3_NAME16,SA4_NAME16
5785,78854,96.41666667,1.606944444,10201104029,Umina - Booker Bay - Patonga,Gosford,Central Coast
6052,81422,100.8666667,1.681111111,10201104030,Umina - Booker Bay - Patonga,Gosford,Central Coast
6231,81662,103.85,1.730833333,10201104031,Umina - Booker Bay - Patonga,Gosford,Central Coast
6096,81494,101.6,1.693333333,10201104032,Umina - Booker Bay - Patonga,Gosford,Central Coast
5468,76351,91.13333333,1.518888889,10201104033,Umina - Booker Bay - Patonga,Gosford,Central Coast
5823,76547,97.05,1.6175,10201104034,Umina - Booker Bay - Patonga,Gosford,Central Coast
5742,77990,95.7,1.595,10201104035,Umina - Booker Bay - Patonga,Gosford,Central Coast
5726,78793,95.43333333,1.590555556,10201104036,Umina - Booker Bay - Patonga,Gosford,Central Coast
5675,77537,94.58333333,1.576388889,10201104037,Umina - Booker Bay - Patonga,Gosford,Central Coast
5834,79327,97.23333333,1.620555556,10201104038,Umina - Booker Bay - Patonga,Gosford,Central Coast
6089,79969,101.4833333,1.691388889,10201104039,Umina - Booker Bay - Patonga,Gosford,Central Coast
6482,79569,108.0333333,1.800555556,10201104040,Umina - Booker Bay - Patonga,Gosford,Central Coast
6455,79713,107.5833333,1.793055556,10201104041,Umina - Booker Bay - Patonga,Gosford,Central Coast
5586,76913,93.1,1.551666667,10201104042,Umina - Booker Bay - Patonga,Gosford,Central Coast
6400,79306,106.6666667,1.777777778,10201104043,Umina - Booker Bay - Patonga,Gosford,Central Coast
