SA1_MAINCODE_2016,Area (sq km),Nearest Centrelink office,Distance (km),Total travel time (min),Travel time decile
10104102006,207.1378,Bega,46615.96285,63.3,10
10104102007,52.9967,Bega,29877.02056,34.4,10
10104102008,93.7422,Bega,44852.52065,52.5,10
10104102009,243.465,Bega,34980.07225,54.1,10
10104102010,919.2309,Bega,63340.47162,93,10
10104102011,95.9361,Bega,20177.36555,24.3,9
10104102012,144.4308,Bega,31192.9733,47.6,10
10104102013,0.8117,Bega,23226.98564,23.9,9
10104102014,59.2093,Bega,31264.05072,32.7,10
10104102015,103.3575,Narooma,18063.59575,26.1,9
10104102016,102.2605,Narooma,32535.52534,36.6,10
10104102017,61.4548,Bega,7835.312668,17.2,8
10104102018,72.468,Bega,23487.27156,25.2,9
10104102019,354.6896,Bega,17053.7433,42.6,10
10104102020,135.4998,Bega,17262.51544,26.8,9
10104102021,60.4743,Bega,15389.43446,20.4,9
10104102022,2.4432,Bega,24804.21843,27.9,9
10104102023,44.0328,Bega,6227.957189,9.1,5
10104102024,143.7849,Bega,26044.10016,30,10
10104102025,0.9172,Bega,16590.57667,19.7,9
10104102026,87.7004,Bega,13580.4027,18.5,9
10104102027,109.322,Bega,22845.65023,31.3,10
10104102028,106.4538,Bega,9249.380766,16,8
10104102029,52.998,Narooma,25356.48266,32.7,10
10104102030,1.6257,Narooma,28086.12036,26.4,9
10104102031,21.7402,Bega,33374.78233,47.5,10
10104102032,212.3649,Bega,36066.01659,54,10
10104102101,0.436,Batemans Bay,14631.64378,21.9,9
10104102102,0.3333,Batemans Bay,15099.20505,22,9
10104102104,1.2967,Batemans Bay,15654.6988,25.3,9
10104102105,1.573,Batemans Bay,12640.64074,19.8,9
10104102106,2.3074,Batemans Bay,12440.99141,17.4,9
10104102107,2.3202,Batemans Bay,13508.89685,19.8,9
10104102108,1.1091,Batemans Bay,16336.78574,22.9,9
10104102109,14.8572,Batemans Bay,16155.95517,18.3,9
10104102201,2781.9988,Narooma,34630.05796,123.6,10
10104102301,0.5394,Bega,43696.1232,41.7,10
10104102302,0.8903,Bega,44074.13855,45.5,10
10104102303,3.24,Bega,41409.46659,38.8,10
10104102304,86.6528,Bega,39687.16239,38.9,10
10104102305,0.5131,Bega,43620.07988,41.6,10
10104102306,0.3362,Bega,43091.75246,41.2,10
10104102307,0.2642,Bega,42275.63629,39.8,10
10104102308,0.6865,Bega,42542.63319,40.4,10
10104102309,0.6288,Bega,44534.64815,43.6,10
10104102310,1.0625,Bega,42334.06606,44.9,10
10104102401,245.4798,Batemans Bay,13004.01307,13.2,7
10104102402,662.2465,Batemans Bay,15030.68883,29.3,10
10104102403,1.7194,Batemans Bay,8361.534373,13,7
10104102404,56.1405,Batemans Bay,10435.06031,16.8,8
10104102405,135.5974,Batemans Bay,16919.08715,42.6,10
10104102406,110.6033,Narooma,28637.53343,51.9,10
10104102407,2.8107,Narooma,14444.13444,18.5,9
10104102408,1.0239,Narooma,16033.56178,17.7,9
10104102409,150.7927,Narooma,13852.06261,15,8
10104102410,86.7649,Narooma,17075.02816,80.7,10
10104102411,1.6658,Batemans Bay,7414.054892,12.3,7
10104102412,5.1668,Batemans Bay,11751.21144,15.3,8
10104102501,1.1689,Bega,29131.33238,28.7,9
10104102502,0.232,Bega,24831.11761,24.7,9
10104102503,0.1856,Bega,25005.9048,26.8,9
10104102504,0.2159,Bega,24585.66854,25.7,9
10104102505,0.3298,Bega,24276.68584,29.1,10
10104102506,0.9577,Bega,24692.76143,30.3,10
10104102507,0.7588,Bega,25933.47438,32.5,10
10104102508,1.5078,Bega,22158.34072,31,10
10104102509,17.1758,Bega,20501.5992,26.9,9
10104102510,0.9242,Bega,20836.88922,27.1,9
10104102511,0.7862,Bega,21833.51424,29.1,10
10104102512,0.4744,Bega,22263.73484,30.9,10
10104102513,5.1662,Bega,30344.78901,30.6,10
10104102514,1.0513,Bega,29044.30142,30.9,10
10104102516,1.4052,Bega,28128.78142,27.5,9
10104102517,0.6373,Bega,30041.91533,29.4,10
10104102518,0.9841,Bega,21323.56401,26.9,9
10104102519,0.6283,Bega,22604.06861,29.5,10
10104102520,0.5401,Bega,23124.76542,30.5,10
10104102521,1.3,Bega,25238.69776,29.8,10
10104102522,0.331,Bega,30687.94799,31.5,10
10104102523,14.8988,Bega,31623.3273,31.2,10
10104102524,10.7141,Bega,26415.69123,29,10
10104102525,19.155,Bega,23621.0168,23.7,9
10104102526,2.0542,Bega,23656.45847,30.5,10
10104102527,1.2072,Bega,24139.69207,25.9,9
10104102528,0.8732,Bega,24034.36834,24.1,9
10104102529,0.6465,Bega,23713.02372,26,9
10104102530,0.2995,Bega,25025.13926,27.9,9
10104102531,7.731,Bega,26230.85872,26.1,9
10104102532,2.9994,Bega,28130.50236,27.2,9
10104102601,0.8331,Narooma,19451.39538,29.3,10
10104102602,3.5277,Narooma,21079.27074,26.5,9
10104102603,0.8936,Narooma,17886.72521,31.1,10
10104102604,0.509,Narooma,18446.55692,31.5,10
10104102605,0.5419,Narooma,18835.62067,30,10
10104102606,8.2658,Batemans Bay,25231.91737,26.8,9
10104102607,0.7057,Batemans Bay,24675.36491,25.5,9
10104102608,0.5382,Batemans Bay,23981.65602,25.4,9
10104102609,0.4817,Batemans Bay,24649.80032,25.4,9
10104102610,0.3901,Batemans Bay,25173.41215,26,9
10104102611,11.6438,Batemans Bay,26463.81371,27.5,9
10104102612,4.98,Batemans Bay,23783.92865,26.6,9
10104102613,23.271,Batemans Bay,21255.41551,22.8,9
10104102614,10.8264,Batemans Bay,24683.26972,32.8,10
10104102615,1.5497,Batemans Bay,23338.07017,28.8,9
10104102616,40.1804,Narooma,25800.58354,26.5,9
10104102617,10.1192,Batemans Bay,27705.47476,39.7,10
10104102618,16.9319,Narooma,24844.6393,33.4,10
10104102619,9.8931,Batemans Bay,27685.71751,29.8,10
10104102620,0.6426,Batemans Bay,25212.0248,25.8,9
10104102621,0.8504,Batemans Bay,25456.4706,27.4,9
10104102622,15.6041,Batemans Bay,19279.09001,21.9,9
10104102623,2.2324,Batemans Bay,23586.35267,24.4,9
10104102701,0.2365,Narooma,23804.44215,30,10
10104102702,0.3487,Narooma,322.0422605,1.7,1
10104102703,3.0224,Narooma,1595.506086,4.6,1
10104102704,0.4185,Narooma,418.9285961,4.4,1
10104102705,0.8206,Narooma,1002.734203,3.2,1
10104102706,2.0304,Narooma,7057.525796,10,5
10104102707,0.6558,Narooma,6497.931707,12.3,7
10104102708,0.3696,Narooma,6391.590477,12.8,7
10104102709,2.3795,Narooma,5587.564237,13.5,7
10104102710,52.6003,Narooma,26335.47873,35.9,10
10104102711,7.4927,Narooma,17051.49705,18.8,9
10104102712,79.746,Narooma,10188.84266,20.6,9
10104102713,25.363,Narooma,3222.335595,6.8,3
10104102714,6.7358,Narooma,2368.80982,19.6,9
10104102715,21.9178,Narooma,5680.657764,13.5,7
10104102716,1.7177,Narooma,7418.116147,13.5,7
10104102717,2.1378,Narooma,22546.4236,28.3,9
10104102718,0.717,Narooma,23043.22301,30,10
10104102719,0.6933,Narooma,23201.75029,28.5,9
10104102720,5.4377,Narooma,24488.74457,32.7,10
10104102721,4.8895,Narooma,17849.88702,20.8,9
10104102722,5.8371,Narooma,14517.66341,15.7,8
10104102723,14.3013,Narooma,7251.266569,9.3,5
10104102724,2.814,Narooma,3662.204768,12.9,7
10104102725,0.2495,Narooma,3119.892989,9.1,5
10104102726,1.0232,Narooma,2139.348965,8.7,4
10104102727,6.9429,Narooma,3569.171322,13.1,7
10104102728,0.4279,Narooma,923.1996715,4,1
10104102729,1.3255,Narooma,556.8983365,3.6,1
10105153901,2.2027,Goulburn,3193.201149,7.7,3
10105153902,0.8785,Goulburn,1209.064188,4.4,1
10105153903,0.327,Goulburn,890.7086654,5.7,2
10105153904,0.3667,Goulburn,619.2132548,3.6,1
10105153905,0.1287,Goulburn,1349.953319,6.4,2
10105153906,0.221,Goulburn,3916.904266,9.1,5
10105153907,0.0513,Goulburn,1872.579536,6,2
10105153908,0.8028,Goulburn,2879.398933,8.7,4
